cat,author,permlink,author_reputation,rep_group,created,day,percent,total_payout_value
Независимые авторы,sergeypyshkin,safinus-proekt-revolyucionnaya-platforma-dlya-investirovaniya-v-kriptovalyuty-i-ikos,33.319401679544235,25-20,2018-01-29T15:46:18Z,29,0.0,0.0
Апвот 50-50,lokkie,psikhologiya-yeffekt-vneshnego-vozdeijstviya,76.87326997708038,70+,2018-01-29T15:56:24Z,29,1.4025457554756227,3543.54
Независимые авторы,devolt,delo-budet-vecherom,29.565226574961954,25-20,2018-01-29T15:59:57Z,29,0.0,0.0
Независимые авторы,habreplicator,perevod-chemu-platezhnye-innovatory-mogut-nauchitsya-u-obezyan-297517,67.4767259009367,65-70,2018-01-29T16:05:48Z,29,0.0,0.0
Независимые авторы,jang,biggest-crypto-gainers-and-losers-or-january-29th-2018,66.87547040225033,65-70,2018-01-29T16:14:42Z,29,7.520267685432316e-06,0.019
Независимые авторы,ivanchay,tainan-kulturnaya-stolica-taivanya,25.22102176387017,25-20,2018-01-29T16:19:33Z,29,0.0,0.0
Независимые авторы,alikonnn,strikecoin-stc-free-10-token-airdrop-besplatnye-monety-razdacha,43.28724802032467,25-20,2018-01-29T16:23:39Z,29,0.0,0.0
Независимые авторы,bmakeew,poezdka-v-gruziyu-avgust-2017-part-18,36.85627108713505,25-20,2018-01-29T16:27:18Z,29,0.0,0.0
Апвот 50-50,lenarius,netradicionnaya-tekhnika-obsheniya-s-samkoi-bolgarina,59.653882641233814,50-60,2018-01-29T16:30:48Z,29,1.7811160307602854e-05,0.045
Апвот 50-50,tr1n1t1,u-nas-vsego-sverkhdostatochno-i-chto,56.450812315773035,50-60,2018-01-29T16:32:06Z,29,0.0012839867563969702,3.2439999999999998
Независимые авторы,moranor,b251p,62.00326531441853,60-65,2018-01-29T16:41:42Z,29,0.0008208965883992959,2.074
Независимые авторы,gradzio,4zxssw-nice-photo,41.44903209467779,25-20,2018-01-29T16:47:09Z,29,0.0,0.0
Независимые авторы,ituber,novosti-sec-i-cftc-obedinenie-litecoin-a-i-monero-ezhednevnyi-obzor-novostei-ot-ituber,68.18383496886808,65-70,2018-01-29T16:47:15Z,29,7.678589110388785e-05,0.19399999999999998
Апвот 50-50,kornev,razvei-zvonar-nad-nami-oblaka,61.987868269246476,60-65,2018-01-29T16:49:51Z,29,0.0,0.0
Независимые авторы,zaria,konkurs-zayavi-o-sebe-tema-etogo-sezona-druzhba-o-druzhbe,70.79964832971326,70+,2018-01-29T16:51:00Z,29,0.0009032237293766603,2.282
Независимые авторы,vtoools,blokchein-kheshei,25.28414855673382,25-20,2018-01-29T16:51:30Z,29,0.0,0.0
Независимые авторы,abalor,bounty-mark-space-vr-prostranstvo-s-vnutrennei-ekonomikoi,33.886713795625695,25-20,2018-01-29T17:00:12Z,29,0.0,0.0
Независимые авторы,dberendey,pochemu-chelovek-dolzhen-za-vse-platit,25.005096842652602,25-20,2018-01-29T17:02:36Z,29,0.0,0.0
Независимые авторы,sibiryak76,ezhednevnaya-fotopremiya-golosa-krasavec-ochitok,60.57387654002653,60-65,2018-01-29T17:02:57Z,29,0.0,0.0
Независимые авторы,wilsainty,ico-bob-s-repair-konec-poddelnykh-obzorov,26.502474546412287,25-20,2018-01-29T17:08:39Z,29,0.0,0.0
Независимые авторы,sonyamarmeladova,i-v-smerti-ya-khochu-byt-ryadom,45.69912934217187,25-20,2018-01-29T17:16:54Z,29,0.0,0.0
Независимые авторы,markvial,poeticheskii-konkurs-zayavi-o-sebe-shkolnye-druzya,65.00825352188724,65-70,2018-01-29T17:17:18Z,29,0.0008723510515101487,2.204
Независимые авторы,jora,zvorushliva-istoriya,26.743196065185963,25-20,2018-01-29T17:40:09Z,29,0.0,0.0
Независимые авторы,lil4a,ostanovis-mgnovene-ot-genyakuc-v-pogone-za-zhiznyu,67.66531791501575,65-70,2018-01-29T17:40:30Z,29,9.895089059779364e-05,0.25
Независимые авторы,alexzhankok,5-oshibok-pri-pokupke-kriptovalyuty,25.374860414407564,25-20,2018-01-29T17:56:24Z,29,0.0,0.0
Независимые авторы,aleksandraz,mne-by-v-leto,73.42571960674809,70+,2018-01-29T18:01:45Z,29,0.001333066398133476,3.3680000000000003
Независимые авторы,whitelily,poeticheskii-konkurs-o-vremeni-i-chasakh,46.63605686838349,25-20,2018-01-29T18:03:33Z,29,8.470196235171134e-05,0.214
Независимые авторы,cryptics,yaponiya-novoe-serdce-kriptovalyut,45.482531747499955,25-20,2018-01-29T18:15:12Z,29,0.0,0.0
Независимые авторы,akaiito-official,2-weeks-14-days-before-akaiito-pre-ico,28.686338880884,25-20,2018-01-29T18:27:15Z,29,0.0,0.0
Апвот 50-50,iplet,osnovatel-ikea,38.82416893840603,25-20,2018-01-29T18:28:15Z,29,5.2246070235635044e-05,0.132
Независимые авторы,habreplicator,konservativnoe-nacionalnoe-kriptoregulirovanie-chto-nesut-nam-novye-zakonoproekty-347768,67.47769767883625,65-70,2018-01-29T18:38:18Z,29,0.0,0.0
Независимые авторы,carbonado,besplatnye-krany-btc-bch-ltc-dash-doge-eth-waves-primecoin-peer-coin,29.380771184523056,25-20,2018-01-29T18:45:33Z,29,0.0,0.0
Независимые авторы,timofeiefremov,otkryta-registraciya-na-bittrex,32.12363239017771,25-20,2018-01-29T19:09:15Z,29,0.0,0.0
Независимые авторы,ecopointberg,okna-kotorye-vyrabatyvayut-elektrichestvo,45.50416685304853,25-20,2018-01-29T19:55:39Z,29,0.0,0.0
Независимые авторы,candy777,dlya-utrennego-vtornika-shishka,62.350332461952085,60-65,2018-01-29T20:11:33Z,29,1.7811160307602854e-05,0.045
Независимые авторы,nata11sokolan,nemnogo-o-sebe-moi-pervyi-post,42.25297612476757,25-20,2018-01-29T20:20:45Z,29,0.00020463044175623725,0.517
Независимые авторы,kudesnikaltay,fleshmob-na-vnutrenneij-birzhe,65.20901808873845,65-70,2018-01-29T20:51:18Z,29,2.0581785244341076e-05,0.052000000000000005
Независимые авторы,kertar,o-vospitanii-detei-ili-pochemu-ne-nado-est-supy,71.35874559675011,70+,2018-01-29T20:51:30Z,29,2.785475882202701,7037.521
Независимые авторы,borishaifa2,wavescore-na-moej-pr-kuhne-20180130t021752465z-cpeda,61.12245221971978,60-65,2018-01-29T21:17:51Z,29,2.0581785244341076e-05,0.052000000000000005
Независимые авторы,moranor,4scrjb,62.002848019208976,60-65,2018-01-29T21:30:09Z,29,0.0008335623023958136,2.106
Независимые авторы,habreplicator,perevod-ya-nenavidel-javascript-a-teper-on-mne-nravitsya-347802,67.47960685571796,65-70,2018-01-29T21:41:21Z,29,0.0,0.0
Независимые авторы,duosre,blockchain-slovar-ot-a-do-ya,48.916599973939974,25-20,2018-01-29T22:23:09Z,29,0.0,0.0
Независимые авторы,viromiro,khelp,66.6769437421636,65-70,2018-01-29T22:50:06Z,29,2.33524101810793e-05,0.059000000000000004
Независимые авторы,nerengot,fraktal-1,66.51562281355474,65-70,2018-01-29T22:54:21Z,29,2.33524101810793e-05,0.059000000000000004
Независимые авторы,lindsay,dazhe-ne-ozhidala,44.631187756356134,25-20,2018-01-29T23:01:24Z,29,0.0,0.0
Независимые авторы,yurashka1312,yubilyar-l-gaidai-i-imeninniki-30-yanvarya-yu-volkov-d-khekmen-i-v-redgreiv,64.25050025592026,60-65,2018-01-29T23:12:36Z,29,7.045303410562907e-05,0.17800000000000002
Независимые авторы,ekantrina0203,chto-takoe-bitkoin,36.706257707277196,25-20,2018-01-29T23:24:27Z,29,0.0,0.0
Независимые авторы,jejangkit,snyato-s-kamery-telefona-lenovo,62.937754947529974,60-65,2018-01-29T23:25:09Z,29,0.0,0.0
Независимые авторы,tihiy-chelovek,semeinyi-prazdnik-3,64.80911742360715,60-65,2018-01-29T23:32:48Z,29,1.5040535370864631e-05,0.038
Апвот 50-50,spinner,lovlya-khishnika-na-r-tura-dzhig-vs-voblery,78.60280411186923,70+,2018-01-29T23:38:57Z,29,2.4523964977543433,6195.994000000001
Апвот 50-50,yrez1986,kto-pomnit-ikh,59.02473109641126,50-60,2018-01-30T00:11:18Z,30,0.0,0.0
Независимые авторы,miningbitcoin,prikaz-ubit-v-internete-rasprostranyayutsya-pisma-moshennikov-vymogayushikh-kriptovalyutu,36.632138809416674,25-20,2018-01-30T00:27:27Z,30,3.411587667895246e-05,0.07200000000000001
Независимые авторы,pavelval,film-ben-gur,66.69508866572059,65-70,2018-01-30T00:37:30Z,30,0.0,0.0
Независимые авторы,oksana0407,zhenskii-klimaks-ili-o-tom-chem-ya-opravdyvayu-neadekvatnoe-zhenskoe-povedenie,68.12845142637923,65-70,2018-01-30T00:45:00Z,30,5.875512094708479e-05,0.124
Независимые авторы,dobryj.kit,ezhednevnaya-statistika-top-250-avtorskikh-vyplat-za-29-01-2018g,70.14509661674295,70+,2018-01-30T01:00:33Z,30,0.0002473401059224053,0.522
Независимые авторы,lisea,my-dreams-dnevnik-snov-30-yanvarya,35.494573880878455,25-20,2018-01-30T01:01:27Z,30,0.0,0.0
Апвот 50-50,massatela,2018-1-30t08-10-13,62.84084372114808,60-65,2018-01-30T01:10:12Z,30,0.01040629005032158,21.962
Независимые авторы,zagitov,vnimanie-sereznaya-statya-budushee,60.20867447967433,60-65,2018-01-30T01:14:03Z,30,1.2319622134066166e-05,0.026000000000000002
Независимые авторы,nikitinskii,robofest-2018,72.52710292949402,70+,2018-01-30T01:20:00Z,30,7.723455414818403e-05,0.163
Независимые авторы,k1e5,app-5-eng-eng-twain-equator,40.44495935150313,25-20,2018-01-30T01:27:30Z,30,0.0,0.0
Независимые авторы,tinochka,2aectf-shutochnye-stikhi-limeriki-ulybnites-druzya-i-prekrasnogo-nastroeniya-vam-na-ves-den,69.5754290612228,65-70,2018-01-30T01:29:30Z,30,4.927848853626466e-05,0.10400000000000001
Апвот 50-50,bitclabnetwork,druzya-ne-upustite-takoi-vozmozhnosti,61.27600036857504,60-65,2018-01-30T01:29:33Z,30,0.0002606073912975535,0.55
Апвот 50-50,komtruz,omisego-omg-padaem-k-usd11,58.07389980962978,50-60,2018-01-30T01:38:06Z,30,0.008612363534953331,18.176
Независимые авторы,vadimph,vcherashnii-zakat,59.01846742160913,50-60,2018-01-30T01:38:24Z,30,0.0,0.0
Независимые авторы,d0z4t0r,skazki,55.031293738670364,50-60,2018-01-30T01:43:45Z,30,5.496446798275673e-05,0.11599999999999999
Vox Populi,vp-svoj-dom,o-znachimosti-cveta-v-interere,70.90707305756163,70+,2018-01-30T01:47:06Z,30,0.01936644599475201,40.872
Независимые авторы,xosesug,nacionalnye-blyuda,39.38482579351495,25-20,2018-01-30T01:53:48Z,30,0.0,0.0
Независимые авторы,xosesug,tandir-kabob-uzbekskoe-blyudo,39.38482579351495,25-20,2018-01-30T02:08:33Z,30,0.0,0.0
Независимые авторы,olegst,peizazhi-ukrainy-otdykh-na-tiligulskom-limane-28,74.43331548969803,70+,2018-01-30T02:13:54Z,30,0.01958630386668304,41.336000000000006
Независимые авторы,xosesug,plov,39.38482579351495,25-20,2018-01-30T02:14:33Z,30,0.0,0.0
Апвот 50-50,ivan2018,the-beach-omega-50,52.591183365936836,50-60,2018-01-30T02:23:06Z,30,0.0,0.0
Независимые авторы,may2015,4242jo-gorodskie-zarisovki,65.2070383361782,65-70,2018-01-30T02:23:09Z,30,3.980185612544453e-05,0.084
Независимые авторы,veta-less,konkurs-master-klass-ot-novichka-risuem-koshku-v-kitaiskom-stile-se-i,50.07321691033434,50-60,2018-01-30T02:26:03Z,30,0.0004179194893171676,0.882
Независимые авторы,lilia,volshebnica-zima,55.049687438930185,50-60,2018-01-30T02:37:24Z,30,0.00031178120631598216,0.6579999999999999
Независимые авторы,anigmo,kak-v-drevnosti-nashli-lekarstvo-ot-smerti,48.67513159650552,25-20,2018-01-30T02:39:03Z,30,0.0,0.0
Независимые авторы,cryptohoma,v-rossii-zapustili-torgovlyu-kriptovalyutnymi-fyuchersami,35.74148478124683,25-20,2018-01-30T02:48:06Z,30,0.0,0.0
Независимые авторы,zritex,airdrop-114-besplatnye-razdachi-monet-30-01-2018,54.84675633136879,50-60,2018-01-30T02:48:18Z,30,5.496446798275673e-05,0.11599999999999999
Независимые авторы,hodlweek,oplatit-otdykh-v-ispanii-mozhno-bitkoinami,55.647049186212996,50-60,2018-01-30T02:54:18Z,30,1.5162611857312203e-05,0.032
Независимые авторы,kleonella,pro-vremya,59.40245257466439,50-60,2018-01-30T02:58:18Z,30,0.0,0.0
Независимые авторы,cheetah,2018-01-28,76.10129413377383,70+,2018-01-30T03:00:54Z,30,0.006957269684403596,14.683
Независимые авторы,gorodnichev,test-i-----ne-obrashaem-vnimaniya,0.0,0-25,2018-01-30T03:11:03Z,30,0.0,0.0
Независимые авторы,habreplicator,sravnitelnoe-testirovanie-6-tipov-obuvi-dlya-zimy-297665,67.4808462865457,65-70,2018-01-30T03:16:51Z,30,0.0,0.0
Независимые авторы,zavodfoto,kto-v-lopatkakh-znaet-tolk,67.73374053892867,65-70,2018-01-30T03:20:33Z,30,7.060091146060993e-05,0.149
Независимые авторы,blockchian,why-are-portuguese-increasingly-excited-about-cryptocurrency-trading-expert-blog-94ff5e38cd602,40.39988910607565,25-20,2018-01-30T03:20:48Z,30,0.0,0.0
Независимые авторы,paganel-club,7uvvn6-mini-konkurs-opredeli-temu-avtorskogo-konkursa-ot-zhaka-paganelya,72.12488673141914,70+,2018-01-30T03:34:39Z,30,0.022644886977275236,47.791000000000004
Независимые авторы,kcn,novye-metody-analiza-razvitiya-kriptorynka,61.299525614228855,60-65,2018-01-30T03:35:39Z,30,0.0,0.0
Независимые авторы,pioner777888,poslednyaya-popytka-dostuchatsya-do-kulturagolosa,77.60089610543463,70+,2018-01-30T03:37:21Z,30,0.006486754885206377,13.69
Апвот 50-50,shinereading,rasshifrovka-genoma-na-kolenke,68.90661737463135,65-70,2018-01-30T03:41:30Z,30,2.312154263427466,4879.696
Независимые авторы,hodlweek,uchebnye-zavedeniya-londona-budut-ispolzovat-blokchein,55.64247953993017,50-60,2018-01-30T03:41:39Z,30,0.0,0.0
Независимые авторы,smyak,test5,24.31337670480064,0-25,2018-01-30T03:45:12Z,30,0.0,0.0
Vox Populi,poesie,rubrika-postgumanizm-obzor-knigi-pro-puteshestviya-vo-vremeni-o-kotorykh-malo-kto-znaet,76.4414548462281,70+,2018-01-30T03:49:48Z,30,0.08374073612983259,176.731
Независимые авторы,rualev,taina-odnogo-prestupleniya,46.4731039569511,25-20,2018-01-30T03:49:54Z,30,0.00031462419603922826,0.664
Vox Populi,vp-kulinar-club,pirogovedenie-dlya-pirogoedov-irina-chadeeva-v-pomosh,73.26158852433696,70+,2018-01-30T03:57:09Z,30,0.031090935613418674,65.616
Апвот 50-50,andrvik,nuzhen-li-strane-infokommunikacionnyi-kodeks,72.75168728320511,70+,2018-01-30T04:01:09Z,30,1.5956346158145265,3367.514
Независимые авторы,danibehram,rost-vyshe-chem-vchera-bitcion,39.893364305760784,25-20,2018-01-30T04:05:39Z,30,0.0,0.0
Независимые авторы,hodlweek,bitguide-chto-takoe-segwit,55.642290405908945,50-60,2018-01-30T04:05:45Z,30,0.0,0.0
Независимые авторы,cyberevents,sovmestimost-tekhnologii-blokchein-i-pravovykh-sistem-spiker-aleksei-vorobei,62.79266351044702,60-65,2018-01-30T04:11:12Z,30,0.007329227506528286,15.468
Независимые авторы,habreplicator,trendy-2018-297659,67.48084197152943,65-70,2018-01-30T04:17:51Z,30,0.0,0.0
Независимые авторы,godofwar,kak-kraby-menyayut-svoi-ekzoskelet,43.901096834015064,25-20,2018-01-30T04:25:03Z,30,0.0,0.0
Независимые авторы,airdrop,airdrop-vyper,42.16645941887998,25-20,2018-01-30T04:25:18Z,30,3.6958866402198494e-05,0.078
Независимые авторы,alexeyvoron,ostrye-khrebty-poluostrova-koni,62.07417616625045,60-65,2018-01-30T04:29:24Z,30,0.002579539342225238,5.444
Независимые авторы,smartell,laliga-obzor-21-go-tura-26-01-29-01-2018,63.623804110158204,60-65,2018-01-30T04:32:03Z,30,4.264484584869057e-05,0.09
Независимые авторы,stormy,lyubitelyam-sladkogo-posvyashaetsya,54.80566540106278,50-60,2018-01-30T04:34:12Z,30,0.0,0.0
Независимые авторы,oksibast,vsem-khoroshego-nastroeniya-druzya,61.401507379829454,60-65,2018-01-30T04:37:33Z,30,2.7008402370837363e-05,0.057
Апвот 50-50,hiddenua,ukraina-ot-hidden-nu-i-vremya-nastalo-rebyata,42.72501143013454,25-20,2018-01-30T04:41:27Z,30,5.685979446492076e-05,0.12
Независимые авторы,vox-populi,vp-top-5-izbrannye-publikacii-29-01-2018,75.09824690873894,70+,2018-01-30T04:47:33Z,30,0.06655059876822543,140.452
Независимые авторы,cryptics,prognozy-kursov-kriptovalyut-30-01-2018,45.494579984160076,25-20,2018-01-30T04:54:09Z,30,0.0,0.0
Независимые авторы,nuoviso,was-ist-wrde-gerald-hther-20180130t095620770z,24.980753393247817,0-25,2018-01-30T04:56:21Z,30,0.0,0.0
Независимые авторы,zorgovocich123,perepel-mm,33.796827474354615,25-20,2018-01-30T04:56:21Z,30,0.0,0.0
Независимые авторы,antonkostroma,po-povodu-vorovannykh-tekstov-na-golose,77.48725863111943,70+,2018-01-30T04:56:36Z,30,0.0013371528331667197,2.822
Независимые авторы,botopolo,spor-na-temu-uma-i-tuposti,43.82634326496779,25-20,2018-01-30T04:59:42Z,30,0.0,0.0
Независимые авторы,unik09,skumbriya-goryachego-kopcheniya,47.15333540877715,25-20,2018-01-30T05:02:06Z,30,5.1647646638969694e-05,0.109
Независимые авторы,kova,more,60.0810433465838,60-65,2018-01-30T05:04:33Z,30,7.391773280439699e-05,0.156
Независимые авторы,botopolo,vpechatleniya-o-bolgarii-o-raznykh-gorodakh-i-syolakh,43.82634326496779,25-20,2018-01-30T05:09:03Z,30,0.0,0.0
Независимые авторы,fartrader,kripta-poka-ne-rastet-a-sberbank-udivlyaet,23.614978454082028,0-25,2018-01-30T05:11:09Z,30,0.0,0.0
Независимые авторы,andreykutepov,2tzano-investirui-v-kriptovalyutu-ne-boisya-slova-birzha,54.31694874549722,50-60,2018-01-30T05:18:39Z,30,0.0,0.0
Независимые авторы,slavjanka,j2i4m-poeticheskii-konkurs-o-vremeni-i-chasakh,30.44562656013803,25-20,2018-01-30T05:22:27Z,30,0.0,0.0
Независимые авторы,evgeniy73,skazochnyi-obmennik-ili-lishnie-dengi,56.409632617613234,50-60,2018-01-30T05:31:00Z,30,0.0,0.0
Независимые авторы,andreykutepov,pufmq-investirui-v-kriptovalyutu-ne-boisya-slova-birzha,54.31827525396042,50-60,2018-01-30T05:38:15Z,30,0.0,0.0
Независимые авторы,sau412,chto-pochitat-na-angliiskom,33.28863543642424,25-20,2018-01-30T05:42:27Z,30,0.0,0.0
Независимые авторы,kotik,chto-osobennogo-v-pokupke-teksta-na-birzhe,61.88441269578982,60-65,2018-01-30T05:42:36Z,30,0.0004544045240988251,0.9590000000000001
Независимые авторы,technotec,chto-proiskhodit-na-rynke-ico-segodnya,37.84075581369616,25-20,2018-01-30T05:47:27Z,30,0.0,0.0
Vox Populi,rblogger,protesty-v-moskve-akciya-storonnikov-navalnogo,74.53174684597577,70+,2018-01-30T05:49:48Z,30,0.02067516893068627,43.63399999999999
Независимые авторы,tortellini,tretya-zapoved-blazhenstva,57.83264915059495,50-60,2018-01-30T05:52:18Z,30,2.7008402370837363e-05,0.057
Апвот 50-50,onur1s,pogovorim-pro-ripple-i-poleznye-saity-iz-mira-kriptovalyut,76.92016904533254,70+,2018-01-30T05:52:36Z,30,2.4263107251114464,5120.6179999999995
Апвот 50-50,creshik,polgoda,67.22777919670223,65-70,2018-01-30T05:52:36Z,30,0.02304811768635563,48.641999999999996
Независимые авторы,kcn,moda-na-portativnye-kriptokoshelki,61.3006804993391,60-65,2018-01-30T05:55:42Z,30,0.0,0.0
Независимые авторы,varvar777,kogda-reputaciya-25,27.97777514314548,25-20,2018-01-30T05:56:18Z,30,0.0,0.0
Независимые авторы,mikhailov,energeticheskoe-kolco-moskvy,69.79607388937026,65-70,2018-01-30T05:58:15Z,30,0.000377169969950641,0.7959999999999999
Независимые авторы,criptoivan,photo-pasmurno-vyalyi-kholod,53.888030258442434,50-60,2018-01-30T05:58:18Z,30,0.0,0.0
Независимые авторы,artvall,deti-risuyut,52.36604501256441,50-60,2018-01-30T06:03:51Z,30,0.0,0.0
Независимые авторы,andreykutepov,3vk7ou-investirui-v-kriptovalyutu-ne-boisya-slova-birzha,54.31929334290271,50-60,2018-01-30T06:04:27Z,30,0.0,0.0
Независимые авторы,andreykutepov,7vd3d3-investirui-v-kriptovalyutu-ne-boisya-slova-birzha,54.318369746758215,50-60,2018-01-30T06:17:33Z,30,0.0,0.0
Независимые авторы,ylana,o-evrika,45.619234742583934,25-20,2018-01-30T06:24:54Z,30,0.0,0.0
Независимые авторы,turkish-r,plavno-peretekayu,72.94858035389987,70+,2018-01-30T06:27:18Z,30,0.0014257593462078878,3.009
Независимые авторы,hodlweek,konec-anonimnosti-bitkoina,55.64247953993017,50-60,2018-01-30T06:27:36Z,30,0.0,0.0
Независимые авторы,yurij12,obereg-dlya-doma-domovoj-01-30,52.67764727769879,50-60,2018-01-30T06:27:48Z,30,0.0005780745770600277,1.22
Независимые авторы,nateatkins,nate-s-pick-of-the-day-more-than-you-ll-ever-know-cover-collab-w-miss-prizz-vocals-by-roger-chandler,45.50848695777408,25-20,2018-01-30T06:30:45Z,30,0.0,0.0
Независимые авторы,zither,iz-zhizni-ptic,50.80355069231051,50-60,2018-01-30T06:31:30Z,30,0.0,0.0
Независимые авторы,lev.nikolaevich,otlozhen-menxshe,67.85959835951655,65-70,2018-01-30T06:36:03Z,30,0.0,0.0
Независимые авторы,itsynergis,prover-io-eshyo-odin-sbor-deneg,68.66616372986567,65-70,2018-01-30T06:38:09Z,30,5.2121478259510694e-05,0.11
Независимые авторы,kuklakatya,dalnii-vostok-i-evropa,30.54269279211032,25-20,2018-01-30T06:40:48Z,30,0.0,0.0
Vox Populi,vp-handmade,gildiya-masterov-babochka-v-tekhnike-kanzashi-cumami-rubrika-dostupno-kazhdomu,76.92668946352434,70+,2018-01-30T06:47:24Z,30,0.08078497448089779,170.493
Независимые авторы,kissell577,mnogikh-lun-svidetel,58.30268475627938,50-60,2018-01-30T06:47:48Z,30,0.0,0.0
Независимые авторы,andreykutepov,3sargq-investirui-v-kriptovalyutu-ne-boisya-slova-birzha,54.32077857146395,50-60,2018-01-30T06:50:15Z,30,0.0,0.0
Независимые авторы,anonymous.author,konkurs-stikhov-26-stikh-4,74.5356943996957,70+,2018-01-30T06:51:36Z,30,0.004661081651261879,9.837
Vox Populi,poesie,poeziya-golosa-premera-stikhotvoreniya-tatyany-akimovoi-carevna-lyagushka,76.51541755210118,70+,2018-01-30T06:51:57Z,30,0.07495826704310504,158.196
Независимые авторы,fyyf,vesennie-cvety,63.2021382839463,60-65,2018-01-30T06:54:06Z,30,0.0,0.0
Независимые авторы,katya.brusnikina,novinka-debitum-network-obzor-ot-katya-brusnikina777,33.55270367012277,25-20,2018-01-30T06:59:54Z,30,0.0,0.0
Независимые авторы,fyyf,hfnts-oranzhevyi-vtornik,63.20368305022732,60-65,2018-01-30T07:00:21Z,30,0.0,0.0
Независимые авторы,dobryj.kit,dobrootchet-o-raspredelenii-vyplat-silami-dobrogo-kita-za--30-01-2018g-20180130t150114303z,70.15957631602959,70+,2018-01-30T07:01:09Z,30,0.0002672410339851275,0.564
Независимые авторы,olyunya.alt,rol-muzhchiny-i-zhenshiny-v-kripto-industrii,38.625502249896506,25-20,2018-01-30T07:01:54Z,30,0.00010424295651902139,0.22
Vox Populi,vp-magic-india,katkha-upanishada-evolyuciya-soznaniya,75.87741052532834,70+,2018-01-30T07:02:33Z,30,0.044392336865245796,93.68799999999999
Независимые авторы,andreykutepov,4b1ssm-investirui-v-kriptovalyutu-ne-boisya-slova-birzha,54.31968841864574,50-60,2018-01-30T07:03:21Z,30,0.0,0.0
Апвот 50-50,alexandergolos,global-blockchain-and-fintech-forum-2018,58.741164918777166,50-60,2018-01-30T07:09:24Z,30,0.0001269868743049897,0.268
Независимые авторы,onopino,4ndn1u-live-star-vebkam-platforma-dlya-translyacii,37.99027807815922,25-20,2018-01-30T07:09:27Z,30,0.0,0.0
Независимые авторы,fyyf,prikol,63.20368305022732,60-65,2018-01-30T07:09:33Z,30,0.0,0.0
Независимые авторы,compress,yumor,59.960990970381786,50-60,2018-01-30T07:11:18Z,30,0.0005842343881270608,1.2329999999999999
Независимые авторы,positivethoughts,3-v-kakuyu-by-pozu-tebya-ne-postavila-zhizn-stoi-krasivo,24.48489613565374,0-25,2018-01-30T07:19:54Z,30,0.0,0.0
Golosmedia,econmag,oilpriceisbadnewsfornigeria,80.49338278888857,70+,2018-01-30T07:20:03Z,30,0.14001250555366196,295.49
Независимые авторы,alin04kasilver,estafeta-cveta-oranzhevyi-vtornik,58.1262685762742,50-60,2018-01-30T07:24:12Z,30,0.0,0.0
Независимые авторы,melianna,chudesa-snezhnoi-korolevy-fotokonkurs-vremena-goda,55.04229707864401,50-60,2018-01-30T07:26:42Z,30,0.0024373898560629366,5.144
Апвот 50-50,alexandergolos,na-smenu-kriptourodcam-pridut-novye-modeli-platyozhnykh-sistem,58.458604615299095,50-60,2018-01-30T07:31:27Z,30,0.0,0.0
Независимые авторы,hloria,konkurs-tri-grani-tvorchestva-1-etap-geroicheskii-sobaka-kistochka,54.66528671509543,50-60,2018-01-30T07:36:33Z,30,0.00011987939999687461,0.253
Независимые авторы,zzapusk,podrobnyi-razbor-razvitiya-i-monetizacii-odnogo-iz-nashikh-kanalov,38.7260260416276,25-20,2018-01-30T07:43:00Z,30,0.0,0.0
Независимые авторы,chizbtc,hint-universalnyi-personalnyi-pomoshnik,41.90837759288983,25-20,2018-01-30T07:48:45Z,30,0.0,0.0
Апвот 50-50,alexandergolos,2z6gxx-coinmarketcap-vernul-pokazateli-yuzhnokoreiskikh-birzh,57.960968518165096,50-60,2018-01-30T07:53:15Z,30,0.0,0.0
Независимые авторы,glazok517,videofakt-transportnyi-kollaps-v-minske,36.16973617070161,25-20,2018-01-30T07:57:36Z,30,0.0,0.0
Независимые авторы,t3ran13,alternativnyi-top-golosa-29-01-2018-gmt-luchshie-stati-za-den,78.0964175325969,70+,2018-01-30T07:59:09Z,30,0.00089459409958142,1.8880000000000001
Независимые авторы,fintab,fintab-ico-zavershilos,52.82648109858347,50-60,2018-01-30T08:01:48Z,30,0.0,0.0
Независимые авторы,dobrotanya,moi-mesta-sily-krekhovskii-monastyr-pod-zhovkvoi-lvovskaya-oblast-ukraina,52.003046752049706,50-60,2018-01-30T08:01:48Z,30,0.0,0.0
Независимые авторы,greatpicture,vrachi-dokazali-kogda-vy-molites-sostav-krovi-menyaetsya,38.56367381133709,25-20,2018-01-30T08:10:03Z,30,0.0,0.0
Независимые авторы,mirvokrug,kak-perestat-pozvolyat-myslyam-sedat-vas-zazhivo,34.627004125008,25-20,2018-01-30T08:13:15Z,30,0.0,0.0
Независимые авторы,alexandergolos,kanadskaya-kompaniya-zapuskaet-novuyu-platformu-dlya-kriptotorgovli,58.41941122837114,50-60,2018-01-30T08:14:48Z,30,0.0,0.0
Vox Populi,vp-kulinar-club,blinchiki-s-neozhidannoi-nachinkoi,73.23701086865259,70+,2018-01-30T08:18:21Z,30,0.02859952895261406,60.358000000000004
Независимые авторы,antino,imgs-esli-by-u-nas-byl-kommunizm,69.70533149361346,65-70,2018-01-30T08:18:21Z,30,0.00014688780236771196,0.31
Апвот 50-50,alexandergolos,3fhrmz-kanadskaya-kompaniya-zapuskaet-novuyu-platformu-dlya-kriptotorgovli,58.45874621355286,50-60,2018-01-30T08:20:36Z,30,0.0,0.0
