cat,author,permlink,author_reputation,rep_group,created,day,percent,total_payout_value
Апвот 50-50,ksantoprotein,novaya-ekonomicheskaya-chekharda-na-golose,68.6628837418838,65-70,2018-01-29T01:53:27Z,29,0.0005679781120313355,1.435
Vox Populi,ekomir,moi-chudesnyi-krym-reki,69.90459338248476,65-70,2018-01-29T01:53:33Z,29,0.010545790116350455,26.644000000000002
Независимые авторы,timurfatkulin,kvadrat-spokoistviya,46.55133126308129,25-20,2018-01-29T01:54:00Z,29,0.0,0.0
Независимые авторы,lisea,khoroshii-sovet-devushkam,34.068418932938336,25-20,2018-01-29T02:00:54Z,29,0.0,0.0
Независимые авторы,takimova,poeticheskii-konkurs-zayavi-o-sebe-drugu-triptikh,57.655833326718096,50-60,2018-01-29T02:01:09Z,29,0.0010742108683296477,2.714
Апвот 50-50,onegin,29012018-btcusd-analiz-czeny,61.940062626218854,60-65,2018-01-29T02:03:45Z,29,8.470196235171134e-05,0.214
Независимые авторы,globetrottergcc,astrologicheskaya-sovmestimost,36.22308099659917,25-20,2018-01-29T02:03:57Z,29,0.0,0.0
Независимые авторы,alexxela,zima-i-problemy-3,30.43686916359696,25-20,2018-01-29T02:06:09Z,29,0.0,0.0
Независимые авторы,vp-kinderchat,razvivayushie-multfilmy-kak-sposob-vospitaniya-malyshei,58.38806595260753,50-60,2018-01-29T02:12:45Z,29,1.0290892622170538e-05,0.026000000000000002
Независимые авторы,botopolo,moi-bytovye-zarisovki-o-poseshenii-g-moskvy,43.77697192419947,25-20,2018-01-29T02:16:06Z,29,0.0,0.0
Независимые авторы,arina99,salekhard-kak-dostoprimechatelnost-krainego-severa,30.52568137209761,25-20,2018-01-29T02:20:09Z,29,0.0,0.0
Независимые авторы,lisea,my-dreams-dnevnik-snov-29-yanvarya,34.06783229135445,25-20,2018-01-29T02:20:18Z,29,0.0,0.0
Независимые авторы,uralsvx,2db1go-paru-slov-o-bashkirii,38.806068721557345,25-20,2018-01-29T02:26:03Z,29,0.0,0.0
Независимые авторы,fyyf,gvozdika-dekorativnaya,63.201967126961094,60-65,2018-01-29T02:28:30Z,29,1.0290892622170538e-05,0.026000000000000002
Независимые авторы,ptimer,metod-luchshii-rossiiskii-serial,27.596558975989907,25-20,2018-01-29T02:28:33Z,29,0.0,0.0
Независимые авторы,artemgukasov,gde-pogulyat-v-antalii-peizazhistu-subektivnyi-gid,52.84348433090272,50-60,2018-01-29T02:30:57Z,29,0.002396590570278562,6.055
Независимые авторы,amsimonyan,obzor-kriptorynka-za-nedelyu-21-01-28-01,44.07091378009963,25-20,2018-01-29T02:33:15Z,29,0.0,0.0
Независимые авторы,may2015,4bc1fj-estafeta-cveta-krasnyi,65.14639874621705,65-70,2018-01-29T02:35:36Z,29,3.958035623911745e-05,0.1
Независимые авторы,cergey-p,ezhednevnaya-fotopremiya-golosa-makrofotografiya-ryabinovyi-med,66.28503235953889,65-70,2018-01-29T02:35:36Z,29,0.0009396376571166484,2.374
Независимые авторы,ajita,ajita-teper-i-na-yandex-zen,60.82844579372645,60-65,2018-01-29T02:37:00Z,29,1.0290892622170538e-05,0.026000000000000002
